"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.7723577235772359","0.04183727072283935","0.5642201834862385","0.2874493927125506","39","4","false","Otu00003","25.53846153846154","0","39","0","0.9879319105691057","false","0","Otu00003","6746","0.22600408441116407"
"2.065040650406504","0.0038453723613378326","0.48425196850393704","0.7619047619047619","15","3","false","Otu00001","23.533333333333335","0","15","0","0.9833587398373984","false","0","Otu00001","1252","0.23533333333333334"
"2.3902439024390243","0.027379328512626307","0.41836734693877553","0.34065934065934067","14","4","false","Otu00004","14.571428571428571","0","14","0","0.9782774390243902","false","0","Otu00004","4930","0.2265625"
"2.4796747967479673","2.4899894178621906E-4","0.4032786885245902","0.9242424242424242","12","4","false","Otu00005","18.25","0","12","0","0.976880081300813","false","0","Otu00005","74","0.3443396226415094"
"2.0813008130081303","0.004112489452251778","0.48046874999999994","0.7083333333333334","16","3","false","Otu00010","22.875","0","16","0","0.983104674796748","false","0","Otu00010","1276","0.23582474226804123"
"2.658536585365854","0.0","0.37614678899082565","1.0","11","4","false","Otu00012","17.272727272727273","0","11","0","0.9740853658536586","false","0","Otu00012","0","0.4668304668304668"
"2.040650406504065","0.003126344469538173","0.4900398406374502","0.7205882352941176","17","4","false","Otu00013","25.352941176470587","0","17","0","0.983739837398374","false","0","Otu00013","934","0.248558246828143"
"2.3089430894308944","9.362974895538724E-4","0.43309859154929575","0.8021978021978022","14","4","false","Otu00022","20.5","0","14","0","0.9795477642276422","false","0","Otu00022","270","0.2847222222222222"
"1.6585365853658536","0.050080644002988256","0.6029411764705883","0.24979591836734694","50","4","false","Otu00035","22.66","0","50","0","0.9897103658536586","false","0","Otu00035","6954","0.1953448275862069"
"2.154471544715447","0.0035551036663859746","0.4641509433962264","0.6916666666666667","16","3","false","Otu00039","21.375","0","16","0","0.9819613821138211","false","0","Otu00039","888","0.24289772727272727"
"2.130081300813008","0.0030196089301426482","0.4694656488549619","0.7","16","4","false","Otu00044","24.875","0","16","0","0.9823424796747967","false","0","Otu00044","790","0.2703804347826087"
"1.5528455284552845","0.08870897839372183","0.6439790575916231","0.23511904761904762","64","4","false","Otu00059","21.6875","0","64","0","0.9913617886178862","false","0","Otu00059","11400","0.18858695652173912"
"2.073170731707317","0.00451296188238979","0.4823529411764706","0.6764705882352942","17","3","false","Otu00079","24.352941176470587","0","17","0","0.9832317073170732","false","0","Otu00079","1314","0.2510612492419648"
"2.0","0.014587643242344957","0.5","0.45454545454545453","22","3","false","Otu00110","23.272727272727273","0","22","0","0.984375","false","0","Otu00110","2622","0.2304230423042304"
"1.910569105691057","0.02351370767584019","0.5234042553191489","0.4673913043478261","24","3","false","Otu00116","23.458333333333332","0","24","0","0.9857723577235772","false","0","Otu00116","3774","0.21325757575757576"
"1.910569105691057","0.024516674439216977","0.5234042553191489","0.4857142857142857","21","3","false","Otu00120","24.142857142857142","0","21","0","0.9857723577235772","false","0","Otu00120","3542","0.2151360544217687"
"2.317073170731707","5.112452317099812E-4","0.43157894736842106","0.9264705882352942","17","5","false","Otu00007","23.352941176470587","0","17","0","0.979420731707317","false","0","Otu00007","202","0.31137254901960787"
"2.4227642276422765","3.9267972094841345E-5","0.41275167785234895","0.975","16","5","false","Otu00002","22.4375","0","16","0","0.9777693089430894","false","0","Otu00002","14","0.33488805970149255"
"2.4227642276422765","3.9267972094841345E-5","0.41275167785234895","0.975","16","5","false","Otu00008","22.4375","0","16","0","0.9777693089430894","false","0","Otu00008","14","0.33488805970149255"
"2.3821138211382116","5.7171416638701E-4","0.4197952218430034","0.8823529411764706","17","5","false","Otu00009","22.294117647058822","0","17","0","0.9784044715447154","false","0","Otu00009","118","0.3140016570008285"
"2.1707317073170733","0.003257674339189888","0.46067415730337075","0.7017543859649122","19","5","false","Otu00016","24.31578947368421","0","19","0","0.9817073170731707","false","0","Otu00016","662","0.26720647773279355"
"1.6666666666666667","0.07378504717188268","0.6","0.2772133526850508","53","4","false","Otu00018","23.471698113207548","0","53","0","0.9895833333333334","false","0","Otu00018","10000","0.2095687331536388"
"2.2439024390243905","0.0011587626848241714","0.44565217391304346","0.8562091503267973","18","5","false","Otu00020","24.166666666666668","0","18","0","0.9805640243902439","false","0","Otu00020","378","0.29116465863453816"
"2.154471544715447","0.004488217964101412","0.4641509433962264","0.6493506493506493","22","5","false","Otu00056","24.136363636363637","0","22","0","0.9819613821138211","false","0","Otu00056","782","0.2681818181818182"
"2.113821138211382","0.005726428367588334","0.47307692307692306","0.5844155844155844","22","4","false","Otu00057","22.181818181818183","0","22","0","0.9825965447154471","false","0","Otu00057","1092","0.25206611570247933"
"2.048780487804878","0.009861564171305003","0.4880952380952381","0.5138339920948617","23","4","false","Otu00062","24.043478260869566","0","23","0","0.9836128048780488","false","0","Otu00062","1722","0.25308924485125855"
"2.292682926829268","0.0011522715999300363","0.43617021276595747","0.8666666666666667","16","5","false","Otu00063","23.5625","0","16","0","0.9798018292682927","false","0","Otu00063","270","0.29453125"
"2.16260162601626","0.0030081288363076374","0.462406015037594","0.7581699346405228","18","4","false","Otu00075","23.666666666666668","0","18","0","0.9818343495934959","false","0","Otu00075","726","0.2751937984496124"
