#OTU ID	B5.145	B5.146	B5.147	B5.148	B5.149	B5.150	B5.151	B5.152	B5.153	B5.154	B5.155	B5.156
Otu00112	0	0	0	82	80	86	0	0	0	0	0	0
Otu00113	0	0	0	87	79	80	0	0	0	0	0	0
Otu00114	0	0	0	89	88	67	0	0	0	0	0	0
Otu00115	0	0	0	82	96	62	0	0	1	0	0	0
Otu00116	0	0	0	0	0	0	0	0	0	35	100	105
Otu00117	0	0	0	84	73	82	0	0	0	0	0	0
Otu00118	0	0	0	77	99	59	0	0	0	0	0	0
Otu00119	0	0	0	87	85	62	0	0	0	0	0	0
Otu00120	1	0	3	0	0	0	0	0	0	44	83	103
Otu00121	0	0	0	85	74	75	0	0	0	0	0	0
Otu00122	0	0	0	76	80	75	0	0	0	0	0	0
Otu00123	0	0	0	71	87	72	0	0	1	0	0	0
Otu00124	0	0	0	73	61	87	0	0	0	0	0	0
Otu00126	0	0	0	77	79	62	0	0	0	0	0	0
Otu00127	0	0	0	77	75	64	0	0	0	0	0	0
Otu00128	0	0	0	60	89	62	0	0	0	0	0	0
Otu00130	0	0	0	63	79	66	0	0	0	0	0	0
Otu00132	0	0	0	56	86	62	0	0	0	0	0	0
Otu00133	0	0	0	91	59	54	0	0	0	0	0	0
Otu00134	0	0	0	75	51	78	0	0	0	0	0	0
Otu00135	0	0	0	81	55	67	0	0	0	0	0	0
